flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
17,1,0,0,1568,16,0
17,1,0,0,1568,16,0
17,1,0,0,1568,16,0
17,1,0,0,1568,16,0
17,1,0,0,1568,16,0
17,1,0,0,1568,16,0
47,1,0,0,4508,46,0
47,1,0,0,4508,46,0
47,1,0,0,4508,46,0
47,1,0,0,4508,46,0
47,1,0,0,4508,46,0
47,1,0,0,4508,46,0
77,1,0,0,7350,75,0
77,1,0,0,12660,84,0
3,17,44228,80,473256,313,0
77,1,0,0,7350,75,0
77,1,0,0,12660,84,0
3,17,44228,80,473256,313,0
77,1,0,0,7350,75,0
77,1,0,0,12660,84,0
3,17,44228,80,473256,313,0
107,1,0,0,10290,105,0
107,1,0,0,33300,144,0
33,17,44228,80,4516344,2987,0
5,6,41162,5001,0,0,0
5,6,5001,41162,0,0,0
107,1,0,0,10290,105,0
107,1,0,0,33300,144,0
33,17,44228,80,4516344,2987,0
5,6,41162,5001,0,0,0
5,6,5001,41162,0,0,0
107,1,0,0,10290,105,0
107,1,0,0,33300,144,0
33,17,44228,80,4516344,2987,0
5,6,41162,5001,0,0,0
5,6,5001,41162,0,0,0
137,1,0,0,13230,135,0
137,1,0,0,53940,204,0
63,17,44228,80,8568504,5667,0
137,1,0,0,13230,135,0
137,1,0,0,53940,204,0
63,17,44228,80,8568504,5667,0
137,1,0,0,13230,135,0
137,1,0,0,53940,204,0
63,17,44228,80,8568504,5667,0
167,1,0,0,16170,165,0
167,1,0,0,74580,264,0
93,17,44228,80,12591936,8328,0
21,6,51138,80,23325360,5368,0
21,6,80,51138,335478,5083,0
167,1,0,0,16170,165,0
167,1,0,0,74580,264,0
93,17,44228,80,12593448,8329,0
21,6,51138,80,23334180,5370,0
21,6,80,51138,335478,5083,0
167,1,0,0,16170,165,0
167,1,0,0,74580,264,0
93,17,44228,80,12591936,8328,0
21,6,51138,80,23325426,5369,0
21,6,80,51138,335478,5083,0
197,1,0,0,19110,195,0
197,1,0,0,95220,324,0
123,17,44228,80,16641072,11006,0
51,6,51138,80,55862500,12902,0
51,6,80,51138,797544,12084,0
197,1,0,0,19110,195,0
197,1,0,0,95220,324,0
123,17,44228,80,16642584,11007,0
51,6,51138,80,55868424,12904,0
51,6,80,51138,797544,12084,0
197,1,0,0,19110,195,0
197,1,0,0,95220,324,0
123,17,44228,80,16641072,11006,0
51,6,51138,80,55862566,12903,0
51,6,80,51138,797544,12084,0
227,1,0,0,22050,225,0
227,1,0,0,115860,384,0
153,17,44228,80,20691720,13685,0
81,6,51138,80,88390358,20427,0
81,6,80,51138,1263702,19147,0
227,1,0,0,22050,225,0
227,1,0,0,115860,384,0
153,17,44228,80,20693232,13686,0
81,6,51138,80,88399178,20429,0
81,6,80,51138,1263702,19147,0
227,1,0,0,22050,225,0
227,1,0,0,115860,384,0
153,17,44228,80,20691720,13685,0
81,6,51138,80,88390424,20428,0
81,6,80,51138,1263702,19147,0
257,1,0,0,24990,255,0
257,1,0,0,136500,444,0
183,17,44228,80,24740856,16363,0
111,6,51138,80,120927168,27956,0
111,6,80,51138,1730850,26225,0
257,1,0,0,24990,255,0
257,1,0,0,136500,444,0
183,17,44228,80,24742368,16364,0
111,6,51138,80,120935988,27958,0
111,6,80,51138,1730850,26225,0
257,1,0,0,24990,255,0
257,1,0,0,136500,444,0
183,17,44228,80,24740856,16363,0
111,6,51138,80,120927234,27957,0
111,6,80,51138,1730850,26225,0
287,1,0,0,27930,285,0
287,1,0,0,157140,504,0
213,17,44228,80,28789992,19041,0
141,6,51138,80,153457332,35494,0
141,6,80,51138,2198394,33309,0
287,1,0,0,27930,285,0
287,1,0,0,157140,504,0
213,17,44228,80,28793016,19043,0
141,6,51138,80,153469048,35496,0
141,6,80,51138,2198394,33309,0
287,1,0,0,27930,285,0
287,1,0,0,157140,504,0
213,17,44228,80,28789992,19041,0
141,6,51138,80,153457398,35495,0
141,6,80,51138,2198394,33309,0
317,1,0,0,30870,315,0
317,1,0,0,177780,564,0
243,17,44228,80,32837616,21718,0
171,6,51138,80,185963536,43020,0
171,6,80,51138,2661120,40320,0
317,1,0,0,30870,315,0
317,1,0,0,177780,564,0
243,17,44228,80,32839128,21719,0
171,6,51138,80,185967946,43021,0
171,6,80,51138,2661120,40320,0
317,1,0,0,30870,315,0
317,1,0,0,177780,564,0
243,17,44228,80,32837616,21718,0
171,6,51138,80,185959192,43020,0
171,6,80,51138,2661120,40320,0
347,1,0,0,33810,345,0
347,1,0,0,198420,624,0
273,17,44228,80,36889776,24398,0
347,1,0,0,33810,345,0
347,1,0,0,198420,624,0
273,17,44228,80,36889776,24398,0
347,1,0,0,33810,345,0
347,1,0,0,198420,624,0
273,17,44228,80,36889776,24398,0
377,1,0,0,36750,375,0
377,1,0,0,217290,681,0
303,17,44228,80,40446000,26750,0
377,1,0,0,36750,375,0
377,1,0,0,217290,681,0
303,17,44228,80,40446000,26750,0
377,1,0,0,36750,375,0
377,1,0,0,217290,681,0
303,17,44228,80,40446000,26750,0
23,6,5000,5000,13650,210,1
23,6,5000,5000,13650,210,1
23,6,5000,5000,13650,210,1
53,6,5000,5000,31915,491,1
53,6,5000,5000,31915,491,1
53,6,5000,5000,31915,491,1
83,6,5000,5000,45045,693,1
83,6,5000,5000,45045,693,1
83,6,5000,5000,45045,693,1
10,6,1380,17831,0,0,1
9,6,1380,17831,0,0,1
9,6,20487,29693,0,0,1
9,6,20487,29693,0,0,1
9,6,2969,63904,0,0,1
9,6,2969,63904,0,0,1
9,6,52271,48207,0,0,1
9,6,52271,48207,0,0,1
9,6,58867,64224,0,0,1
9,6,58867,64224,0,0,1
8,6,61081,58042,0,0,1
8,6,61081,58042,0,0,1
8,6,45498,62407,0,0,1
8,6,45498,62407,0,0,1
8,6,12958,44613,0,0,1
8,6,12958,44613,0,0,1
8,6,14585,17233,0,0,1
8,6,14585,17233,0,0,1
8,6,50610,49326,0,0,1
8,6,50610,49326,0,0,1
7,6,2003,16511,0,0,1
7,6,2003,16511,0,0,1
7,6,63474,8201,0,0,1
7,6,63474,8201,0,0,1
7,6,38795,52765,0,0,1
7,6,38795,52765,0,0,1
7,6,30932,53622,0,0,1
7,6,30932,53622,0,0,1
6,6,49635,46904,0,0,1
6,6,49635,46904,0,0,1
6,6,37505,4897,0,0,1
6,6,37505,4897,0,0,1
6,6,8252,22812,0,0,1
6,6,8252,22812,0,0,1
6,6,3036,49499,0,0,1
6,6,3036,49499,0,0,1
6,6,57030,1960,0,0,1
6,6,57030,1960,0,0,1
5,6,31913,3968,0,0,1
5,6,31913,3968,0,0,1
5,6,28828,54057,0,0,1
5,6,28828,54057,0,0,1
5,6,63369,60365,0,0,1
5,6,63369,60365,0,0,1
5,6,7104,57386,0,0,1
5,6,7104,57386,0,0,1
5,6,62971,25474,0,0,1
4,6,62971,25474,0,0,1
4,6,13752,46255,0,0,1
4,6,13752,46255,0,0,1
4,6,58734,35081,0,0,1
4,6,58734,35081,0,0,1
4,6,32714,52216,0,0,1
4,6,32714,52216,0,0,1
4,6,32470,17047,0,0,1
4,6,32470,17047,0,0,1
4,6,16682,20109,0,0,1
3,6,16682,20109,0,0,1
3,6,64787,62941,0,0,1
3,6,64787,62941,0,0,1
3,6,43082,35802,0,0,1
3,6,43082,35802,0,0,1
3,6,5257,23151,0,0,1
3,6,5257,23151,0,0,1
3,6,41341,2297,0,0,1
3,6,41341,2297,0,0,1
2,6,6303,8605,0,0,1
2,6,6303,8605,0,0,1
2,6,42507,15508,0,0,1
2,6,42507,15508,0,0,1
2,6,15541,28990,0,0,1
2,6,15541,28990,0,0,1
2,6,24095,45807,0,0,1
2,6,24095,45807,0,0,1
2,6,26229,44681,0,0,1
2,6,26229,44681,0,0,1
1,6,45071,28370,0,0,1
1,6,45071,28370,0,0,1
1,6,63338,41308,0,0,1
1,6,63338,41308,0,0,1
1,6,54812,26154,0,0,1
1,6,54812,26154,0,0,1
1,6,43085,45561,0,0,1
1,6,43085,45561,0,0,1
0,6,5887,5907,0,0,1
0,6,5887,5907,0,0,1
0,6,12141,52990,0,0,1
0,6,12141,52990,0,0,1
0,6,10060,9482,0,0,1
0,6,10060,9482,0,0,1
0,6,35281,45344,0,0,1
0,6,35281,45344,0,0,1
0,6,52726,40614,0,0,1
0,6,52726,40614,0,0,1
10,6,1380,17831,0,0,1
9,6,1380,17831,0,0,1
9,6,20487,29693,0,0,1
9,6,20487,29693,0,0,1
9,6,2969,63904,0,0,1
9,6,2969,63904,0,0,1
9,6,52271,48207,0,0,1
9,6,52271,48207,0,0,1
9,6,58867,64224,0,0,1
9,6,58867,64224,0,0,1
8,6,61081,58042,0,0,1
8,6,61081,58042,0,0,1
8,6,45498,62407,0,0,1
8,6,45498,62407,0,0,1
8,6,12958,44613,0,0,1
8,6,12958,44613,0,0,1
8,6,14585,17233,0,0,1
8,6,14585,17233,0,0,1
8,6,50610,49326,0,0,1
8,6,50610,49326,0,0,1
7,6,2003,16511,0,0,1
7,6,2003,16511,0,0,1
7,6,63474,8201,0,0,1
7,6,63474,8201,0,0,1
7,6,38795,52765,0,0,1
7,6,38795,52765,0,0,1
7,6,30932,53622,0,0,1
7,6,30932,53622,0,0,1
6,6,49635,46904,0,0,1
6,6,49635,46904,0,0,1
6,6,37505,4897,0,0,1
6,6,37505,4897,0,0,1
6,6,8252,22812,0,0,1
6,6,8252,22812,0,0,1
6,6,3036,49499,0,0,1
6,6,3036,49499,0,0,1
6,6,57030,1960,0,0,1
6,6,57030,1960,0,0,1
5,6,31913,3968,0,0,1
5,6,31913,3968,0,0,1
5,6,28828,54057,0,0,1
5,6,28828,54057,0,0,1
5,6,63369,60365,0,0,1
5,6,63369,60365,0,0,1
5,6,7104,57386,0,0,1
5,6,7104,57386,0,0,1
5,6,62971,25474,0,0,1
4,6,62971,25474,0,0,1
4,6,13752,46255,0,0,1
4,6,13752,46255,0,0,1
4,6,58734,35081,0,0,1
4,6,58734,35081,0,0,1
4,6,32714,52216,0,0,1
4,6,32714,52216,0,0,1
4,6,32470,17047,0,0,1
4,6,32470,17047,0,0,1
4,6,16682,20109,0,0,1
3,6,16682,20109,0,0,1
3,6,64787,62941,0,0,1
3,6,64787,62941,0,0,1
3,6,43082,35802,0,0,1
3,6,43082,35802,0,0,1
3,6,5257,23151,0,0,1
3,6,5257,23151,0,0,1
3,6,41341,2297,0,0,1
3,6,41341,2297,0,0,1
2,6,6303,8605,0,0,1
2,6,6303,8605,0,0,1
2,6,42507,15508,0,0,1
2,6,42507,15508,0,0,1
2,6,15541,28990,0,0,1
2,6,15541,28990,0,0,1
2,6,24095,45807,0,0,1
2,6,24095,45807,0,0,1
2,6,26229,44681,0,0,1
2,6,26229,44681,0,0,1
1,6,45071,28370,0,0,1
1,6,45071,28370,0,0,1
1,6,63338,41308,0,0,1
1,6,63338,41308,0,0,1
1,6,54812,26154,0,0,1
1,6,54812,26154,0,0,1
1,6,43085,45561,0,0,1
1,6,43085,45561,0,0,1
0,6,5887,5907,0,0,1
0,6,5887,5907,0,0,1
0,6,12141,52990,0,0,1
0,6,12141,52990,0,0,1
0,6,10060,9482,0,0,1
0,6,10060,9482,0,0,1
0,6,35281,45344,0,0,1
0,6,35281,45344,0,0,1
0,6,52726,40614,0,0,1
0,6,52726,40614,0,0,1
10,6,1380,17831,0,0,1
9,6,1380,17831,0,0,1
9,6,20487,29693,0,0,1
9,6,20487,29693,0,0,1
9,6,20487,29693,0,0,1
9,6,2969,63904,0,0,1
9,6,2969,63904,0,0,1
9,6,2969,63904,0,0,1
9,6,52271,48207,0,0,1
9,6,52271,48207,0,0,1
9,6,52271,48207,0,0,1
9,6,58867,64224,0,0,1
9,6,58867,64224,0,0,1
9,6,58867,64224,0,0,1
9,6,61081,58042,0,0,1
8,6,61081,58042,0,0,1
8,6,61081,58042,0,0,1
8,6,45498,62407,0,0,1
8,6,45498,62407,0,0,1
8,6,45498,62407,0,0,1
8,6,12958,44613,0,0,1
8,6,12958,44613,0,0,1
8,6,12958,44613,0,0,1
8,6,14585,17233,0,0,1
8,6,14585,17233,0,0,1
8,6,14585,17233,0,0,1
8,6,50610,49326,0,0,1
8,6,50610,49326,0,0,1
8,6,50610,49326,0,0,1
7,6,2003,16511,0,0,1
7,6,2003,16511,0,0,1
7,6,2003,16511,0,0,1
7,6,63474,8201,0,0,1
7,6,63474,8201,0,0,1
7,6,63474,8201,0,0,1
7,6,38795,52765,0,0,1
7,6,38795,52765,0,0,1
7,6,38795,52765,0,0,1
7,6,30932,53622,0,0,1
7,6,30932,53622,0,0,1
7,6,30932,53622,0,0,1
7,6,49635,46904,0,0,1
6,6,49635,46904,0,0,1
6,6,49635,46904,0,0,1
6,6,37505,4897,0,0,1
6,6,37505,4897,0,0,1
6,6,37505,4897,0,0,1
6,6,8252,22812,0,0,1
6,6,8252,22812,0,0,1
6,6,8252,22812,0,0,1
6,6,3036,49499,0,0,1
6,6,3036,49499,0,0,1
6,6,3036,49499,0,0,1
6,6,57030,1960,0,0,1
6,6,57030,1960,0,0,1
6,6,57030,1960,0,0,1
5,6,31913,3968,0,0,1
5,6,31913,3968,0,0,1
5,6,31913,3968,0,0,1
5,6,28828,54057,0,0,1
5,6,28828,54057,0,0,1
5,6,28828,54057,0,0,1
5,6,63369,60365,0,0,1
5,6,63369,60365,0,0,1
5,6,63369,60365,0,0,1
5,6,7104,57386,0,0,1
5,6,7104,57386,0,0,1
5,6,7104,57386,0,0,1
5,6,62971,25474,0,0,1
5,6,62971,25474,0,0,1
5,6,62971,25474,0,0,1
4,6,13752,46255,0,0,1
4,6,13752,46255,0,0,1
4,6,13752,46255,0,0,1
4,6,58734,35081,0,0,1
4,6,58734,35081,0,0,1
4,6,58734,35081,0,0,1
4,6,32714,52216,0,0,1
4,6,32714,52216,0,0,1
4,6,32714,52216,0,0,1
4,6,32470,17047,0,0,1
4,6,32470,17047,0,0,1
4,6,32470,17047,0,0,1
4,6,16682,20109,0,0,1
4,6,16682,20109,0,0,1
3,6,16682,20109,0,0,1
3,6,64787,62941,0,0,1
3,6,64787,62941,0,0,1
3,6,64787,62941,0,0,1
3,6,43082,35802,0,0,1
3,6,43082,35802,0,0,1
3,6,43082,35802,0,0,1
3,6,5257,23151,0,0,1
3,6,5257,23151,0,0,1
3,6,5257,23151,0,0,1
3,6,41341,2297,0,0,1
3,6,41341,2297,0,0,1
3,6,41341,2297,0,0,1
2,6,6303,8605,0,0,1
2,6,6303,8605,0,0,1
2,6,6303,8605,0,0,1
2,6,42507,15508,0,0,1
2,6,42507,15508,0,0,1
2,6,42507,15508,0,0,1
2,6,15541,28990,0,0,1
2,6,15541,28990,0,0,1
2,6,15541,28990,0,0,1
2,6,24095,45807,0,0,1
2,6,24095,45807,0,0,1
2,6,24095,45807,0,0,1
2,6,26229,44681,0,0,1
2,6,26229,44681,0,0,1
2,6,26229,44681,0,0,1
1,6,45071,28370,0,0,1
1,6,45071,28370,0,0,1
1,6,45071,28370,0,0,1
1,6,63338,41308,0,0,1
1,6,63338,41308,0,0,1
1,6,63338,41308,0,0,1
1,6,54812,26154,0,0,1
1,6,54812,26154,0,0,1
1,6,54812,26154,0,0,1
1,6,43085,45561,0,0,1
1,6,43085,45561,0,0,1
1,6,43085,45561,0,0,1
1,6,5887,5907,0,0,1
0,6,5887,5907,0,0,1
0,6,5887,5907,0,0,1
0,6,12141,52990,0,0,1
0,6,12141,52990,0,0,1
0,6,12141,52990,0,0,1
0,6,10060,9482,0,0,1
0,6,10060,9482,0,0,1
0,6,10060,9482,0,0,1
0,6,35281,45344,0,0,1
0,6,35281,45344,0,0,1
0,6,35281,45344,0,0,1
0,6,52726,40614,0,0,1
0,6,52726,40614,0,0,1
0,6,52726,40614,0,0,1
10,6,26404,2013,0,0,1
9,6,26404,2013,0,0,1
9,6,26404,2013,0,0,1
9,6,49419,47204,0,0,1
9,6,49419,47204,0,0,1
9,6,49419,47204,0,0,1
9,6,48553,63052,0,0,1
9,6,48553,63052,0,0,1
9,6,48553,63052,0,0,1
9,6,50798,10827,0,0,1
9,6,50798,10827,0,0,1
9,6,50798,10827,0,0,1
9,6,53222,15912,0,0,1
9,6,53222,15912,0,0,1
9,6,53222,15912,0,0,1
8,6,16408,29848,0,0,1
8,6,16408,29848,0,0,1
8,6,16408,29848,0,0,1
8,6,40626,45164,0,0,1
8,6,40626,45164,0,0,1
8,6,40626,45164,0,0,1
8,6,4475,44625,0,0,1
8,6,4475,44625,0,0,1
8,6,4475,44625,0,0,1
8,6,25416,41568,0,0,1
8,6,25416,41568,0,0,1
8,6,25416,41568,0,0,1
8,6,7252,55407,0,0,1
8,6,7252,55407,0,0,1
8,6,7252,55407,0,0,1
7,6,38630,6619,0,0,1
7,6,38630,6619,0,0,1
7,6,38630,6619,0,0,1
7,6,44173,21165,0,0,1
7,6,44173,21165,0,0,1
7,6,44173,21165,0,0,1
7,6,2880,39583,0,0,1
7,6,2880,39583,0,0,1
7,6,2880,39583,0,0,1
7,6,20781,31490,0,0,1
7,6,20781,31490,0,0,1
7,6,20781,31490,0,0,1
7,6,33495,475,0,0,1
7,6,33495,475,0,0,1
6,6,33495,475,0,0,1
6,6,24278,37709,0,0,1
6,6,24278,37709,0,0,1
6,6,24278,37709,0,0,1
6,6,43668,1330,0,0,1
6,6,43668,1330,0,0,1
6,6,43668,1330,0,0,1
6,6,48407,25039,0,0,1
6,6,48407,25039,0,0,1
6,6,48407,25039,0,0,1
6,6,51846,37371,0,0,1
6,6,51846,37371,0,0,1
6,6,51846,37371,0,0,1
5,6,58988,22231,0,0,1
5,6,58988,22231,0,0,1
5,6,58988,22231,0,0,1
5,6,14440,61551,0,0,1
5,6,14440,61551,0,0,1
5,6,14440,61551,0,0,1
5,6,17796,44163,0,0,1
5,6,17796,44163,0,0,1
5,6,17796,44163,0,0,1
5,6,10983,50671,0,0,1
5,6,10983,50671,0,0,1
5,6,10983,50671,0,0,1
5,6,62711,47575,0,0,1
5,6,62711,47575,0,0,1
5,6,62711,47575,0,0,1
4,6,22959,25559,0,0,1
4,6,22959,25559,0,0,1
4,6,22959,25559,0,0,1
4,6,28246,11743,0,0,1
4,6,28246,11743,0,0,1
4,6,28246,11743,0,0,1
4,6,3288,22838,0,0,1
4,6,3288,22838,0,0,1
4,6,3288,22838,0,0,1
4,6,62044,54220,0,0,1
4,6,62044,54220,0,0,1
4,6,62044,54220,0,0,1
4,6,14293,9184,0,0,1
4,6,14293,9184,0,0,1
4,6,14293,9184,0,0,1
3,6,16205,59319,0,0,1
3,6,16205,59319,0,0,1
3,6,16205,59319,0,0,1
3,6,19615,27245,0,0,1
3,6,19615,27245,0,0,1
3,6,19615,27245,0,0,1
3,6,19590,34721,0,0,1
3,6,19590,34721,0,0,1
3,6,19590,34721,0,0,1
3,6,35419,31564,0,0,1
3,6,35419,31564,0,0,1
3,6,35419,31564,0,0,1
3,6,19633,61479,0,0,1
3,6,19633,61479,0,0,1
2,6,19633,61479,0,0,1
2,6,18446,35713,0,0,1
2,6,18446,35713,0,0,1
2,6,18446,35713,0,0,1
2,6,46868,17940,0,0,1
2,6,46868,17940,0,0,1
2,6,46868,17940,0,0,1
2,6,4587,26835,0,0,1
2,6,4587,26835,0,0,1
2,6,4587,26835,0,0,1
2,6,31933,2915,0,0,1
2,6,31933,2915,0,0,1
2,6,31933,2915,0,0,1
1,6,1353,26198,0,0,1
1,6,1353,26198,0,0,1
1,6,1353,26198,0,0,1
1,6,54523,10060,0,0,1
1,6,54523,10060,0,0,1
1,6,54523,10060,0,0,1
1,6,32751,31234,0,0,1
1,6,32751,31234,0,0,1
1,6,32751,31234,0,0,1
1,6,25419,39968,0,0,1
1,6,25419,39968,0,0,1
1,6,25419,39968,0,0,1
1,6,29531,44131,0,0,1
1,6,29531,44131,0,0,1
1,6,29531,44131,0,0,1
0,6,43257,24150,0,0,1
0,6,43257,24150,0,0,1
0,6,43257,24150,0,0,1
0,6,43126,23636,0,0,1
0,6,43126,23636,0,0,1
0,6,43126,23636,0,0,1
0,6,51012,22704,0,0,1
0,6,51012,22704,0,0,1
0,6,51012,22704,0,0,1
0,6,11811,58622,0,0,1
0,6,11811,58622,0,0,1
0,6,11811,58622,0,0,1
0,6,55959,15492,0,0,1
0,6,55959,15492,0,0,1
9,6,26404,2013,0,0,1
9,6,26404,2013,0,0,1
9,6,49419,47204,0,0,1
9,6,49419,47204,0,0,1
9,6,48553,63052,0,0,1
9,6,48553,63052,0,0,1
9,6,50798,10827,0,0,1
9,6,50798,10827,0,0,1
9,6,53222,15912,0,0,1
9,6,53222,15912,0,0,1
8,6,16408,29848,0,0,1
8,6,16408,29848,0,0,1
8,6,40626,45164,0,0,1
8,6,40626,45164,0,0,1
8,6,4475,44625,0,0,1
8,6,4475,44625,0,0,1
8,6,25416,41568,0,0,1
8,6,25416,41568,0,0,1
8,6,7252,55407,0,0,1
8,6,7252,55407,0,0,1
7,6,38630,6619,0,0,1
7,6,38630,6619,0,0,1
7,6,44173,21165,0,0,1
7,6,44173,21165,0,0,1
7,6,2880,39583,0,0,1
7,6,2880,39583,0,0,1
7,6,20781,31490,0,0,1
7,6,20781,31490,0,0,1
7,6,33495,475,0,0,1
6,6,33495,475,0,0,1
6,6,24278,37709,0,0,1
6,6,24278,37709,0,0,1
6,6,43668,1330,0,0,1
6,6,43668,1330,0,0,1
6,6,48407,25039,0,0,1
6,6,48407,25039,0,0,1
6,6,51846,37371,0,0,1
6,6,51846,37371,0,0,1
5,6,58988,22231,0,0,1
5,6,58988,22231,0,0,1
5,6,14440,61551,0,0,1
5,6,14440,61551,0,0,1
5,6,17796,44163,0,0,1
5,6,17796,44163,0,0,1
5,6,10983,50671,0,0,1
5,6,10983,50671,0,0,1
5,6,62711,47575,0,0,1
5,6,62711,47575,0,0,1
4,6,22959,25559,0,0,1
4,6,22959,25559,0,0,1
4,6,28246,11743,0,0,1
4,6,28246,11743,0,0,1
4,6,3288,22838,0,0,1
4,6,3288,22838,0,0,1
4,6,62044,54220,0,0,1
4,6,62044,54220,0,0,1
4,6,14293,9184,0,0,1
4,6,14293,9184,0,0,1
3,6,16205,59319,0,0,1
3,6,16205,59319,0,0,1
3,6,19615,27245,0,0,1
3,6,19615,27245,0,0,1
3,6,19590,34721,0,0,1
3,6,19590,34721,0,0,1
3,6,35419,31564,0,0,1
3,6,35419,31564,0,0,1
2,6,19633,61479,0,0,1
2,6,19633,61479,0,0,1
2,6,18446,35713,0,0,1
2,6,18446,35713,0,0,1
2,6,46868,17940,0,0,1
2,6,46868,17940,0,0,1
2,6,4587,26835,0,0,1
2,6,4587,26835,0,0,1
2,6,31933,2915,0,0,1
2,6,31933,2915,0,0,1
1,6,1353,26198,0,0,1
1,6,1353,26198,0,0,1
1,6,54523,10060,0,0,1
1,6,54523,10060,0,0,1
1,6,32751,31234,0,0,1
1,6,32751,31234,0,0,1
1,6,25419,39968,0,0,1
1,6,25419,39968,0,0,1
1,6,29531,44131,0,0,1
1,6,29531,44131,0,0,1
0,6,43257,24150,0,0,1
0,6,43257,24150,0,0,1
0,6,43126,23636,0,0,1
0,6,43126,23636,0,0,1
0,6,51012,22704,0,0,1
0,6,51012,22704,0,0,1
0,6,11811,58622,0,0,1
0,6,11811,58622,0,0,1
9,6,26404,2013,0,0,1
9,6,26404,2013,0,0,1
9,6,49419,47204,0,0,1
9,6,49419,47204,0,0,1
9,6,48553,63052,0,0,1
9,6,48553,63052,0,0,1
9,6,50798,10827,0,0,1
9,6,50798,10827,0,0,1
9,6,53222,15912,0,0,1
9,6,53222,15912,0,0,1
8,6,16408,29848,0,0,1
8,6,16408,29848,0,0,1
8,6,40626,45164,0,0,1
8,6,40626,45164,0,0,1
8,6,4475,44625,0,0,1
8,6,4475,44625,0,0,1
8,6,25416,41568,0,0,1
8,6,25416,41568,0,0,1
8,6,7252,55407,0,0,1
8,6,7252,55407,0,0,1
7,6,38630,6619,0,0,1
7,6,38630,6619,0,0,1
7,6,44173,21165,0,0,1
7,6,44173,21165,0,0,1
7,6,2880,39583,0,0,1
7,6,2880,39583,0,0,1
7,6,20781,31490,0,0,1
7,6,20781,31490,0,0,1
7,6,33495,475,0,0,1
6,6,33495,475,0,0,1
6,6,24278,37709,0,0,1
6,6,24278,37709,0,0,1
6,6,43668,1330,0,0,1
6,6,43668,1330,0,0,1
6,6,48407,25039,0,0,1
6,6,48407,25039,0,0,1
6,6,51846,37371,0,0,1
6,6,51846,37371,0,0,1
5,6,58988,22231,0,0,1
5,6,58988,22231,0,0,1
5,6,14440,61551,0,0,1
5,6,14440,61551,0,0,1
5,6,17796,44163,0,0,1
5,6,17796,44163,0,0,1
5,6,10983,50671,0,0,1
5,6,10983,50671,0,0,1
5,6,62711,47575,0,0,1
5,6,62711,47575,0,0,1
4,6,22959,25559,0,0,1
4,6,22959,25559,0,0,1
4,6,28246,11743,0,0,1
4,6,28246,11743,0,0,1
4,6,3288,22838,0,0,1
4,6,3288,22838,0,0,1
4,6,62044,54220,0,0,1
4,6,62044,54220,0,0,1
4,6,14293,9184,0,0,1
4,6,14293,9184,0,0,1
3,6,16205,59319,0,0,1
3,6,16205,59319,0,0,1
3,6,19615,27245,0,0,1
3,6,19615,27245,0,0,1
3,6,19590,34721,0,0,1
3,6,19590,34721,0,0,1
3,6,35419,31564,0,0,1
3,6,35419,31564,0,0,1
2,6,19633,61479,0,0,1
2,6,19633,61479,0,0,1
2,6,18446,35713,0,0,1
2,6,18446,35713,0,0,1
2,6,46868,17940,0,0,1
2,6,46868,17940,0,0,1
